Region,State,Population,Area,Density
Northeast,Maine,1402106,35380,45.45946
Northeast,Vermont,647818,9616,70.28513
Northeast,New Hampshire,1405105,9349,156.94237
Northeast,Massachusetts,7020058,10554,900.00744
Northeast,Rhode Island,1098082,1545,1061.97485
Northeast,Connecticut,3625646,5543,748.791
Northeast,New York,19469232,54555,413.13143
Northeast,New Jersey,9320865,8723,1267.45513
Northeast,Pennsylvania,12951275,46054,289.45925
Southeast,Arkansas,3089060,53179,59.36504
Southeast,Delaware,1044321,2489,535.82401
Southeast,Maryland,6196525,12406,638.35634
Southeast,Virginia,8752297,42775,221.63325
Southeast,West Virginia,1766107,24230,73.47146
Southeast,North Carolina,10975017,53819,225.73979
Southeast,South Carolina,5464155,32020,181.7689
Southeast,Georgia,11145304,59425,193.78756
Southeast,Florida,22975931,65758,428.45559
Southeast,Alabama,5143033,52420,101.55066
Southeast,Mississippi,2940452,48432,62.66547
Southeast,Tennessee,7204002,42144,174.706
Southeast,Kentucky,4540745,40408,114.99633
Southeast,Louisiana,4559475,52378,105.53363
Midwest,Ohio,11812173,44826,289.08184
Midwest,Michigan,10041241,96714,177.59849
Midwest,Indiana,6892124,36420,192.37771
Midwest,Illinois,12516863,57914,225.45188
Midwest,Wisconsin,5931367,65496,109.51968
Midwest,Minnesota,5761530,86936,72.35649
Midwest,Iowa,3214315,56273,57.54543
Midwest,Missouri,6215144,69707,90.41262
Midwest,North Dakota,788940,70698,11.43375
Midwest,South Dakota,928767,77116,12.25108
Midwest,Nebraska,1988698,77348,25.88642
Midwest,Kansas,2944376,82278,36.01287
Southwest,Texas,30976754,268596,118.57948
Southwest,Oklahoma,4088377,69899,59.60168
Southwest,New Mexico,2115266,121590,17.43859
Southwest,Arizona,7497004,113990,65.99824
West,California,38889770,163696,249.64706
West,Oregon,4227337,98379,44.04027
West,Washington,7841283,71298,117.9921
West,Nevada,3210931,110572,29.24851
West,Idaho,1990456,83569,24.08499
West,Utah,3454232,84897,42.03763
West,Colorado,5914181,104094,57.06356
West,Montana,1142746,147040,7.85144
West,Wyoming,586485,97813,6.04045
West,Alaska,733536,665384,1.28546
West,Hawaii,1430877,10932,222.77394
